id;name;description;price;stock_quantity;release_date;image_url
1;a smoothly mysteriously;../fake-data/blob/hipster.txt;9686.85;5382;2024-10-07T04:25:49;while ick
2;oof subsidy;../fake-data/blob/hipster.txt;15660.61;26707;2024-10-07T08:48:28;how furiously habit
3;closely what ha;../fake-data/blob/hipster.txt;28807.77;7671;2024-10-06T15:32:18;phooey anenst
4;brr purse jittery;../fake-data/blob/hipster.txt;23718.08;14295;2024-10-07T05:05:57;ack obtrude
5;whoever eek;../fake-data/blob/hipster.txt;6969.1;18410;2024-10-06T16:12:44;via indeed
6;oof since;../fake-data/blob/hipster.txt;32137.42;5644;2024-10-06T19:37:03;gosh reflate
7;telescope rudely;../fake-data/blob/hipster.txt;18002.8;31;2024-10-07T00:09:36;unknown ameliorate beside
8;midst faithfully birdcage;../fake-data/blob/hipster.txt;19320.29;7828;2024-10-07T01:08:06;dislocate tapioca while
9;um yet;../fake-data/blob/hipster.txt;27198.38;16073;2024-10-06T20:50:15;ah
10;prance;../fake-data/blob/hipster.txt;25081.76;8522;2024-10-06T23:04:07;than
