id;shipment_date;tracking_number;shipment_status
1;2024-10-07T03:24:21;vision by positively;RETURNED
2;2024-10-06T16:36:29;deployment concerning unabashedly;IN_TRANSIT
3;2024-10-06T16:13:20;before;RETURNED
4;2024-10-06T23:00:58;now materialise;SHIPPED
5;2024-10-06T16:13:28;enchanted avalanche quicker;IN_TRANSIT
6;2024-10-07T07:46:57;atop because since;IN_TRANSIT
7;2024-10-07T12:33:58;bah;SHIPPED
8;2024-10-06T17:16:09;aw pfft;RETURNED
9;2024-10-06T14:01:00;before madly notwithstanding;PENDING
10;2024-10-07T08:39:35;yowza memorable;RETURNED
